altitude,date_time,direction,latitude,longitude,speed_2d,bird_name
44,2014-03-31 05:33:58+00:00,15.0131434160258,36.2555924,-6.642249700000001,11.9926811014051,Eric
109,2014-03-31 06:50:25+00:00,-13.760138115803402,36.776272,-6.419829,14.9043684871248,Eric
87,2014-03-31 08:06:09+00:00,-51.430125280044095,37.1138454,-6.7769519,18.0472740323851,Eric
553,2014-04-01 07:11:59+00:00,-15.1811660393793,37.9698972,-7.3112725,17.7964181789483,Eric
358,2014-04-01 08:47:47+00:00,122.208122292636,38.8005795,-7.5792565,10.9638040843496,Eric
507,2014-04-01 11:22:09+00:00,-11.7052980718167,39.7937992,-7.647415700000001,17.3229010272529,Eric
1076,2014-04-01 12:37:45+00:00,-12.1220129724873,40.2114597,-7.7455667,4.34632028272193,Eric
548,2014-04-01 13:54:56+00:00,-29.6986776364593,40.7704936,-8.0836454,13.928535457829,Eric
145,2014-04-01 15:10:11+00:00,-150.46326447406798,40.762852,-8.5724477,5.77200138600122,Eric
313,2014-04-01 18:57:07+00:00,-4.22440554938457,41.41117379999999,-8.7128344,11.7346367647235,Eric
515,2014-04-01 20:13:09+00:00,-4.86960696199473,42.1530483,-8.619912199999998,16.0060488566042,Eric
731,2014-04-01 21:57:52+00:00,28.595978124122897,43.3331457,-8.4253634,18.6843597696041,Eric
95,2014-04-02 06:43:27+00:00,-120.108603186466,43.7156289,-8.034944099999999,7.53016600082628,Eric
14,2014-04-02 07:59:16+00:00,-43.52892283895351,43.7839978,-7.5649019,11.3610958978437,Eric
17,2014-04-03 09:17:03+00:00,-107.747819587056,43.5596574,-7.1126523,0.3176476034853719,Eric
127,2014-04-03 10:51:51+00:00,93.3119025558693,43.617192200000005,-6.3793465,14.9513477653354,Eric
182,2014-04-03 13:23:32+00:00,72.8826486148822,43.5614194,-5.5970144,9.98438781298082,Eric
10,2014-04-03 18:43:54+00:00,-63.1488646214462,43.4127075,-4.714668799999999,0.502493781056044,Eric
238,2014-04-04 06:51:32+00:00,134.714103086815,43.60035429999999,-3.7721686,6.53954891410715,Eric
142,2014-04-04 08:06:45+00:00,30.4090376328486,44.0800189,-3.3051361000000004,14.0367660093057,Eric
124,2014-04-04 09:21:52+00:00,42.8884407655297,44.523720700000005,-2.778295,11.9845233530583,Eric
10,2014-04-04 10:36:33+00:00,130.035266974004,44.8782238,-2.1902071,15.3453217626741,Eric
125,2014-04-04 11:51:19+00:00,57.735665854677,45.10375689999999,-1.6535265,14.4776793720541,Eric
104,2014-04-04 13:07:51+00:00,-73.57718831914521,45.5153922,-1.1884032,12.5394178493262,Eric
490,2014-04-04 17:12:04+00:00,7.338831501405751,46.1925054,-0.8452828000000001,11.839535463860098,Eric
289,2014-04-04 18:47:39+00:00,-6.5941400167445,46.7812976,-0.6156010000000001,7.0330078913648295,Eric
646,2014-04-04 20:03:40+00:00,26.8232103697518,47.2334574,-0.338496,10.7188805385637,Eric
859,2014-04-04 21:48:57+00:00,6.32050444662595,47.8732759,0.2110743,10.2410595154994,Eric
760,2014-04-05 00:19:41+00:00,32.503041571803195,48.7813541,0.7273392,10.317519081639698,Eric
435,2014-04-05 02:49:48+00:00,20.649911571801105,49.6464289,1.5298869,11.9243658112287,Eric
385,2014-04-05 04:06:18+00:00,32.9153555247875,50.028405600000006,1.9360427,9.49989473625892,Eric
171,2014-04-05 05:36:33+00:00,1.02588339554028,50.4989835,2.2229469,10.27124627297,Eric
104,2014-04-05 07:06:42+00:00,-113.763824120718,50.4619046,2.6758038,8.86036116645366,Eric
530,2014-04-05 10:52:17+00:00,35.654224732449606,50.6613248,3.1431487,18.414790251317,Eric
346,2014-04-05 13:22:10+00:00,-34.1190143871496,51.2277875,3.2905238,10.1729543398169,Eric
33,2014-04-07 14:59:50+00:00,93.27925853786292,50.3467111,3.1801676,1.13841995766062,Eric
46,2014-04-08 06:02:25+00:00,-123.038207370908,50.6462893,3.5371575,0.0728010988928052,Eric
88,2014-04-09 09:43:31+00:00,-0.154775508433979,51.2370201,3.2105514,8.44481497725083,Eric
107,2014-04-10 13:56:14+00:00,-167.46682028106702,50.8189971,3.2438479,5.99020867750031,Eric
2,2014-04-10 18:57:33+00:00,-22.064229494454004,51.3408721,3.182934,4.01885555848926,Eric
37,2014-04-12 15:24:01+00:00,-148.768504942374,50.9127871,3.3247504,8.71303047165566,Eric
19,2014-04-12 20:26:08+00:00,-42.3319270304185,51.3505504,3.1779778,0.216333076527839,Eric
39,2014-04-13 17:09:09+00:00,102.677988473267,50.751512,3.3049581,0.635059052372297,Eric
-1,2014-04-13 22:11:08+00:00,-2.92367258386679,51.3114789,3.2085919,0.06,Eric
127,2014-04-27 14:03:26+00:00,114.058637179056,50.8822568,3.3222722,7.66420902637709,Eric
14,2014-04-27 17:10:41+00:00,100.452156053844,51.3406529,3.1832984,0.7392563831310491,Eric
22,2014-04-30 09:16:13+00:00,23.5472346397165,50.9968202,3.3889947,0.3337663853655729,Eric
